,收盘,换手率,成交均价,gain,loss,gain_llt,loss_llt,vnsp_llt
2006-03-09,1004.34,0.0004,521.3977013449208,0.016103948031056584,-0.03160061023850741,0.06333287449684089,-0.004939195371388148,0.06852407307591141
2006-03-10,1008.9,0.0004,533.1290526744529,0.030918083080922844,-0.014523561683825351,0.061158456738690685,-0.005571985833121188,0.0665060568077602
2006-03-13,1019.86,0.0004,518.6120739822017,0.04377417246603243,-0.006588307053014613,0.05998360029573998,-0.005369409996614944,0.06443472108725964
2006-03-14,1018.27,0.0004,516.5301251406631,0.025533338686661834,-0.016946567789470214,0.05868508397225004,-0.005264267118193017,0.06249154702584813
2006-03-15,1028.96,0.0005,527.0357512174179,0.02234768135815231,-0.018891151238768673,0.0567477375439497,-0.0055729622184084735,0.060526099290661044
2006-03-16,1027.62,0.0005,536.8085810938182,0.03286304491436149,-0.01057555321627689,0.05513842892437216,-0.0056678449030836825,0.058503706028306936
2006-03-17,1024.02,0.0005,529.6103929069365,0.0438969552986359,-0.004570589798294869,0.05430406358680071,-0.005300674981115079,0.05664164561851181
2006-03-20,1037.66,0.0005,535.8260455290452,0.03357194366434035,-0.008933490038142144,0.0535294478261826,-0.004906233014755948,0.05505201115010402
2006-03-21,1040.76,0.0007,538.4087387123222,0.0399241619304633,-0.0050443075672216816,0.05265970166825751,-0.004554620704290444,0.05366454766460821
2006-03-22,1047.67,0.0006,538.3171882841597,0.04236667607516224,-0.003827923013167831,0.05211493672616903,-0.004062280217765654,0.052470841179078756
2006-03-23,1048.54,0.0007,528.8797461975187,0.0408464044322665,-0.0038442097409882433,0.0516235060646304,-0.0035630720129074655,0.05148837044858068
2006-03-24,1042.6,0.0007,548.8989079987464,0.027762819822736817,-0.010100731280988515,0.0506781138037857,-0.003300335656216154,0.05059341656795879
2006-03-27,1050.71,0.0006,537.046258127812,0.0537413833962966,-0.0013697399994805801,0.050195417751096136,-0.0029780277935593973,0.04976461711721831
2006-03-28,1055.98,0.0008,477.2608412167029,0.03423972533673845,-0.004777489516862025,0.04994432055765768,-0.0025063704186653424,0.049104194686755975
2006-03-29,1065.29,0.0011,520.275535181169,0.0003003116166127887,-0.09426692706717629,0.04796521438177335,-0.005086587911420784,0.04831015841071923
2006-03-30,1055.63,0.0008,549.2303969282173,0.01605107658100069,-0.018708265623562887,0.045489300412056066,-0.008001154824270796,0.047037289432708164
2006-03-31,1061.09,0.0008,540.7420409863626,0.051221491589503544,-0.0012718683519153985,0.04478883059826432,-0.007755831278226375,0.04563111653420731
2006-04-03,1079.32,0.001,566.2925428747835,0.036871773529072005,-0.0033955814956171406,0.044798601821821306,-0.0070307925519635375,0.04455317561171236
2006-04-04,1089.37,0.0011,562.6297811498546,0.07608491086493868,-0.00028433404600071964,0.04561544661743522,-0.0063153559145947115,0.043981286362381904
2006-04-05,1099.97,0.0011,562.8817565604355,0.06766783369315732,-0.0005530026641783672,0.04739271391001909,-0.005548817735110669,0.044087430260193225
2006-04-06,1103.24,0.0012,544.357753324027,0.06553332416338555,-0.0005252848363237185,0.048738551074241784,-0.004834040805609204,0.044778702692927025
2006-04-07,1103.15,0.0011,545.2758588198162,0.03593470308639292,-0.004825173560978746,0.04898488229613289,-0.00429967224841942,0.04562520096467157
2006-04-10,1117.91,0.0011,537.8174216465758,0.036654292980758334,-0.0043848478931415805,0.04827811334574861,-0.003923529386311989,0.046218254598043115
2006-04-11,1123.31,0.0012,555.9698706902362,0.02659730356029954,-0.008164264861074681,0.047300413125325694,-0.003680960901947203,0.04640239125310417
2006-04-12,1117.07,0.001,527.1715953912206,0.0520028849844347,-0.0016108186232499534,0.04686803115965343,-0.0033666195813801345,0.04632655207235593
2006-04-13,1093.93,0.0012,508.2193337564236,0.01641770632064703,-0.019070308923817267,0.046124380357166934,-0.0034288321272927967,0.046096825968704964
2006-04-14,1118.61,0.0012,500.5532984080571,0.004257324046721326,-0.044557034348883647,0.04386328988263394,-0.004890993079109141,0.04543732730245527
2006-04-17,1124.41,0.0012,513.9166503662223,0.0022158948505739033,-0.05690277677976299,0.041250180979510054,-0.007518029251662513,0.04414360706389642
2006-04-18,1131.28,0.0011,538.5195820197794,0.007642271896847695,-0.03422084077262378,0.038874822826316706,-0.009685962871437167,0.04237279771223871
2006-04-19,1138.24,0.0012,564.1994441728085,0.028324069338087753,-0.008076502664983772,0.03746517069622069,-0.010164893574518677,0.04046471185157013
2006-04-20,1134.38,0.0013,569.1134538773005,0.0640788087491838,-0.00039244979804054577,0.03796070788889831,-0.00952470480324195,0.038955612692370065
2006-04-21,1149.16,0.0014,557.985611770168,0.06932219716953743,-0.00016803686161216797,0.0397663250240596,-0.008662951943981222,0.03830198261543751
2006-04-24,1142.7,0.0016,571.3551725926768,0.05011790470838745,-0.001999344142828575,0.04103045309992664,-0.007900023074907352,0.03841358410025625
2006-04-25,1141.93,0.0013,592.710848725594,0.06836739909006466,-0.0001006906520123929,0.042202089126756284,-0.007176784801621015,0.038974828315575555
2006-04-26,1155.73,0.0014,609.1236682951378,0.09818439487560818,0.0,0.04487950717854816,-0.006428593417528351,0.04010409911653379
2006-04-27,1155.27,0.0011,589.8141003702543,0.11885066644622229,0.0,0.049067132318994205,-0.005718528711995926,0.04216339172899068
2006-04-28,1172.35,0.0014,596.6152142140194,0.08689090801922521,-0.0010396237999513577,0.05268132549223743,-0.005081921650718785,0.04505350029464837
2006-05-08,1218.44,0.0015,590.840528387206,0.09590757170958529,-0.0005805331293592845,0.05537029346318302,-0.00450034865672356,0.04827336583350904
2006-05-09,1251.61,0.0019,591.349047014279,0.0848993354124287,-0.0011942470540809358,0.05785979440568345,-0.003957347512107603,0.05151671638428007
2006-05-10,1265.93,0.0019,603.0185261502035,0.08307530018551613,-0.001110259812760895,0.05980642772012928,-0.0034632948688939234,0.05462549256959674
2006-05-11,1255.04,0.0021,610.1314367478834,0.09686385642811489,-0.00026888209786411765,0.06204256348223605,-0.0029685325532607747,0.05757087264333893
2006-05-12,1296.26,0.0019,623.8462754712822,0.10274841546465195,0.0,0.06480422529249336,-0.0024671283865166597,0.060520141887566506
2006-05-15,1352.16,0.0025,622.4084766224823,0.11773600494112868,0.0,0.0681041130576629,-0.0019868130445042545,0.06364182781924599
2006-05-16,1331.13,0.0027,639.1861214361314,0.11104210873724826,-7.890506275287767e-05,0.07150615513912492,-0.001537907523104066,0.06698718623366155
2006-05-17,1335.52,0.0021,632.9949165918661,0.12882928650369505,0.0,0.07509560076165651,-0.0011163450560358137,0.07053283057073692
