,收盘,gain,loss,gain_llt,loss_llt,vnsp_llt
2021-01-22,6622.5,0.08570496662128581,-0.0014994290286365602,0.0711388584988215,-0.010650755103148328,0.0700501120077712
2021-01-25,6637.81,0.1374472372945425,0.0,0.07422743973683818,-0.009606018946365376,0.0722682324459642
2021-01-26,6645.31,0.1768752072930478,0.0,0.08012164695524815,-0.008570388015982502,0.07532226286274608
2021-01-27,6532.96,0.16534681968716666,-0.00023252248596765713,0.0866257434610656,-0.007599902232611196,0.07957644930403265
2021-01-28,6557.16,0.10666159232952745,-0.004467849701318319,0.0905179373891174,-0.006829253008742745,0.08435165206986336
2021-01-29,6414.38,0.07669264233803555,-0.009417238464821003,0.09132511736191513,-0.006402164703850182,0.0885021945241625
2021-02-01,6346.14,0.05963062863095015,-0.016558145130849574,0.09055125412022436,-0.006396357897926815,0.09136687173926758
2021-02-02,6393.28,0.043403520490813655,-0.027152354502507272,0.0887207353988101,-0.006974724166333272,0.09282105960513823
2021-02-03,6454.79,0.0823526813413021,-0.006948602009405993,0.08770716863325188,-0.007219298303723645,0.09319905617717264
2021-02-04,6399.33,0.07201573889305955,-0.009040182636746634,0.08766270108283393,-0.006869691879726812,0.09310508575420533
2021-02-05,6328.79,0.0493645861983271,-0.021176426228896674,0.08653712596346615,-0.00700650606150558,0.09266105226661497
2021-02-08,6239.87,0.0654789373587376,-0.010076753671656972,0.08524379948406727,-0.0071769125262949665,0.0917624984657
2021-02-09,6323.16,0.07368566091145802,-0.006920220691404527,0.08479485898814659,-0.00688182592150895,0.09066585571772437
2021-02-10,6457.88,0.07929710237313527,-0.005605490512334918,0.08480786244448363,-0.006462112761471862,0.08966936114124227
2021-02-18,6525.17,0.09616584765005924,-0.0033774383957523206,0.08554210101037214,-0.0059540517035569385,0.08897045347353863
2021-02-19,6614.54,0.04142875008771575,-0.023484824122948188,0.0849999272176624,-0.006058590396189108,0.08841085241052675
2021-02-22,6703.48,0.02490112026879879,-0.04519723802328003,0.08215790907765964,-0.0075242139133716085,0.0873499736415303
2021-02-23,6657.06,0.015744436451310587,-0.06526984389957645,0.07861132509729085,-0.010282905158983884,0.08541989312808013
2021-02-24,6631.23,0.009569701195481888,-0.08474071755337807,0.07473228324550799,-0.014197865597663801,0.0827004981948801
2021-02-25,6536.19,0.023007070237192596,-0.038944588645389716,0.07127287264200007,-0.01706963422486172,0.07944446255490607
2021-02-26,6499.15,0.005265878740073825,-0.09474136675875934,0.06783753032122121,-0.02012950985523667,0.07589872404479707
2021-03-01,6364.35,0.00880231423543635,-0.06970254812490995,0.06410412362458749,-0.024042434885536184,0.07213252976163737
2021-03-02,6488.44,0.0034495847930832253,-0.10484718252948298,0.06049110551463985,-0.02809414513250081,0.06821557738935136
2021-03-03,6433.33,0.0030639755601148747,-0.09942916516052269,0.05686608115440249,-0.032914797352810346,0.06425196584740489
2021-03-04,6524.75,0.0,-0.15894410743669235,0.05330506348123384,-0.03925806846236116,0.06032868184758951
2021-03-05,6401.99,0.0,-0.157052431892693,0.04981843734151906,-0.04716267912570006,0.05654727540330803
2021-03-08,6403.5,0.0,-0.16367268669000093,0.04650314055524837,-0.05483036259006153,0.052987136992174166
