,收盘,gain,loss,gain_llt,loss_llt,vnsp_llt
2010-08-30,999.46,0.07507282556705835,-0.0029202052134365856,0.07507282556705835,-0.0029202052134365856,0.07653292817377665
2010-08-31,1024.93,0.06457285677184933,-0.004618186887733728,0.06457285677184933,-0.004618186887733728,0.06688195021571619
2010-09-01,1025.57,0.08536817260370488,-0.0015098665235318046,0.05509055243239812,-0.0061598765580915035,0.058170490711443854
2010-09-02,995.59,0.06530007721025473,-0.0034559644297469626,0.04626486367035536,-0.0075610078200343085,0.05004536758037249
2010-09-03,1014.92,0.05831200891738486,-0.004921316753933225,0.03715985390368804,-0.008977242980294425,0.04164847539383523
2010-09-06,1036.7,0.07243757458378516,-0.0022111972892798703,0.02890069855326309,-0.010256507521900212,0.034028952314213184
2010-09-07,1010.76,0.045113303426656835,-0.009531364616988005,0.02078426029300561,-0.01159597934634477,0.026582249966178008
2010-09-08,1022.62,0.04601239526992138,-0.009290768004175014,0.012372864548290497,-0.013073117396283224,0.01890942324643214
2010-09-09,1026.33,0.021530169526827698,-0.026545387966722,0.0037727925649439116,-0.015004309595372384,0.011274947362630152
2010-09-10,1021.83,0.004752179680470546,-0.0525133505162942,-0.00558204288279038,-0.018219592477005303,0.003527753355712336
2010-09-13,1034.94,0.0010024592803283832,-0.07790634393251318,-0.014980898637545481,-0.022920563852948037,-0.0035206167110713796
2010-09-14,1042.48,0.009931623282020253,-0.037362151938242306,-0.023585916464485338,-0.026871099586675048,-0.010150366671147715
2010-09-15,1031.22,0.0379370443394318,-0.011458517171846799,-0.03040364568578163,-0.028439140555354948,-0.016184075408104036
2010-09-16,990.1,0.02696821776600003,-0.017936501747057704,-0.03616922901520511,-0.029270027874581,-0.021534215077914476
2010-09-17,972.6,0.01567605779312612,-0.027043524983303792,-0.042213057959455166,-0.03053845427333178,-0.026943830822789117
2010-09-20,972.23,0.018763502843750404,-0.022677455453364168,-0.04806557026194659,-0.03187058378929038,-0.032130278367301215
2010-09-21,949.2,0.021280267762199927,-0.019564892290920295,-0.05328818367672573,-0.0328660656261594,-0.03685515086364582
2010-09-27,934.46,0.0015477328026595682,-0.06379848121058582,-0.05865496282101472,-0.035121893850762684,-0.04109401589563315
2010-09-28,950.67,0.004155006846730371,-0.04672697185974629,-0.06415715011465299,-0.03812253584196717,-0.045095882193669154
2010-09-29,942.05,0.0002620363294770501,-0.08020418619020006,-0.06927422863189366,-0.04148154842909131,-0.04853345441734773
2010-09-30,926.76,0.018544204344964513,-0.020809713716031138,-0.0735165093145995,-0.043804760120242384,-0.051614129254478
2010-10-08,942.54,0.0028040739315464747,-0.0534628323893553,-0.07731336875777105,-0.045115753091574326,-0.05475549221198356
2010-10-11,959.86,0.0004762432643264571,-0.07401788363475201,-0.08135828705415728,-0.04806384155521749,-0.05732636627654821
2010-10-12,947.11,0.004333690456549983,-0.04525621792352477,-0.08500335107124586,-0.05057176997698683,-0.059717466082752135
2010-10-13,951.79,0.0006110203566512058,-0.07218732674608205,-0.08831496798701777,-0.05286815873695958,-0.061880888618537695
2010-10-14,962.74,0.0,-0.09012605899518257,-0.09145631862810082,-0.05648180950221815,-0.0632154138769915
2010-10-15,958.49,0.007367735495093247,-0.03729734404635125,-0.09407669802466972,-0.05875435181360523,-0.06469952211786692
2010-10-18,944.25,0.0030779325435709567,-0.05424620489893376,-0.09632288683912697,-0.059718900816325186,-0.06646343643096424
2010-10-19,932.36,0.0023489550098840604,-0.05862308429706605,-0.0984782409961821,-0.06129971810829776,-0.06782838194203313
2010-10-20,995.92,0.011926960055855858,-0.029958510781939247,-0.10009804447713638,-0.06198355409624697,-0.06910626742901282
2010-10-21,1004.54,0.006197006752022876,-0.04106339435084784,-0.10137296456538228,-0.0620332556722566,-0.07035633672925393
2010-10-22,991.84,0.0,-0.08968738868214549,-0.10283478106687789,-0.06399351264607842,-0.07083802474383864
2010-10-25,1013.45,0.0017118356806982153,-0.06404547110912294,-0.1042342854483788,-0.06657615530372601,-0.07094620779651578
2010-10-26,1039.05,0.006921997359817633,-0.04026589141668894,-0.10520546315821805,-0.06739618728989065,-0.07150736951327273
2010-10-27,1036.01,0.0037565699802305924,-0.04981398215501146,-0.10592977577283592,-0.06768416341358957,-0.07208769406604115
2010-10-28,1030.59,0.013120591436869933,-0.027725386965154482,-0.10628619235181738,-0.06752142945536581,-0.07252547762413453
2010-10-29,1038.62,0.02160886668807298,-0.018909582681548194,-0.10591577018507296,-0.06633333049690113,-0.07274910493662248
2010-11-01,1064.52,0.03301587852990319,-0.011869576158149583,-0.1047897580115485,-0.06466001983719744,-0.0724597480929499
2010-11-02,1107.52,0.04383194663962085,-0.007528509740747612,-0.10287171190226117,-0.06267157963458125,-0.0715359220849707
2010-11-03,1075.15,0.05056396298817157,-0.005405451363863181,-0.10035485642689762,-0.06054424569420067,-0.07008273357979747
2010-11-04,1040.62,0.01884351422903907,-0.02141739335071674,-0.09865429613852801,-0.0589476309158545,-0.06918048068060097
2010-11-05,1057.71,0.023941981748554473,-0.016613945168795996,-0.09778576005338707,-0.057769524727394286,-0.06890099768969016
2010-11-08,1072.22,0.03012174743989253,-0.012813451696869644,-0.09647838183165698,-0.05634596116813171,-0.06830540124759138
2010-11-09,1107.06,0.04102810615126151,-0.007751011037892411,-0.09456694790844454,-0.054681255758141506,-0.06722632002937405
2010-11-10,1115.65,0.053010407254302894,-0.004266700469127062,-0.09189460261872076,-0.05279826932215769,-0.06549546795764218
2010-11-11,1141.58,0.04010918332050438,-0.007829318092371553,-0.08927517243105808,-0.050988981957378804,-0.06378068145236894
2010-11-12,1132.72,0.03461887473370888,-0.010115539397011698,-0.08727673090481895,-0.04943827416451995,-0.06255759382255925
2010-11-15,1082.24,0.041717864631022866,-0.006495488643725806,-0.08522088881098965,-0.04790071152761936,-0.06127053304718026
2010-11-16,1148.54,0.08102813821038644,-0.0001828130685210093,-0.08165586213986059,-0.04609676199393829,-0.05860748114289176
2010-11-17,1126.18,0.05472210484321107,-0.003288403365852618,-0.07774414852467186,-0.044258913004441465,-0.05561469202245146
2010-11-18,1085.35,0.02172259344191812,-0.019216674482085194,-0.07585670395125259,-0.04311283713221726,-0.054300285385144274
2010-11-19,1102.84,0.010078728697197203,-0.03757351347896958,-0.07542008415582661,-0.04312132060968077,-0.05385942385098653
2010-11-22,1153.17,0.0133367518187662,-0.030303718905446714,-0.07518614982301876,-0.043473956582204445,-0.05344917153191683
2010-11-23,1174.94,0.03239425003406375,-0.009460233606324002,-0.07414823553799081,-0.042879406083468845,-0.05270853249625666
2010-11-24,1183.5,0.04486938350139089,-0.004634552049042182,-0.07204759511723362,-0.041463768030516976,-0.0513157111019754
2010-11-25,1208.45,0.04842941646188041,-0.0034875593125701307,-0.06944203153487365,-0.03990821974976422,-0.04948792165999181
2010-11-26,1186.36,0.04805774223028502,-0.0034437417415451275,-0.06677604820715066,-0.03837574453643894,-0.047588175938931436
2010-11-29,1196.02,0.055803674720792916,-0.0017817125857825797,-0.06391857663409366,-0.036849113510487815,-0.04549401987884997
2010-11-30,1220.11,0.07682777682214739,-0.00010656219037361672,-0.06018532485450072,-0.03527562604141636,-0.04254751183379273
2010-12-01,1181.5,0.05143448931323806,-0.0029275388258394697,-0.056698955004204354,-0.033803981091294295,-0.03979696445855738
2010-12-02,1177.18,0.06253222794786507,-0.0010800865435207632,-0.05377242654750426,-0.03242420486259855,-0.037560324116205135
2010-12-03,1177.84,0.07392411550803933,-0.00015714558280448143,-0.05018427458081353,-0.03101063318745511,-0.03467895798708612
2010-12-06,1157.94,0.07151031623592247,-0.0002754340849316538,-0.046408312349117624,-0.029629398568492258,-0.03159361306487164
2010-12-07,1134.38,0.046425746879777734,-0.0038341164953294977,-0.04364203338179749,-0.028425201668967223,-0.029429432547314033
2010-12-08,1161.69,0.07607857151977311,0.0,-0.040795321144671486,-0.02726136973211188,-0.027164636278615695
2010-12-09,1160.24,0.08238188182015266,0.0,-0.03685329277955491,-0.026020680585628106,-0.023842952486741002
2010-12-10,1144.53,0.05849263747333281,-0.0017925535383028412,-0.03361259490340614,-0.024890333188928866,-0.021167428308941846
2010-12-13,1166.8,0.08767066939523399,0.0,-0.03029708508839423,-0.02380709870529834,-0.018393535735745196
2010-12-14,1209.27,0.10715531005441342,0.0,-0.02550187197297958,-0.022710812356629407,-0.014146465794665008
2010-12-15,1218.52,0.08581454077214543,-0.0003926389833042183,-0.0209441711564905,-0.021673589375666425,-0.01010737646865741
2010-12-16,1211.8,0.06666508941397943,-0.0018272306273536918,-0.017870869293823186,-0.020739596532248418,-0.007501071027699093
2010-12-17,1225.03,0.04538407591691779,-0.005906163259637717,-0.016209348123704954,-0.020024033162882808,-0.00619733154226366
2010-12-20,1232.98,0.07757266845036884,-0.0005410817584116503,-0.014222648854760774,-0.019295430785354936,-0.004574933462083409
2010-12-21,1212.34,0.10948219099439105,0.0,-0.01019836071616293,-0.018404488064662647,-0.000996116683831704
2010-12-22,1215.02,0.06858402722359784,-0.0018553203898602696,-0.006614425058067261,-0.017594253040457752,0.002182701462161522
2010-12-23,1201.65,0.05617583202153942,-0.004223424267703375,-0.0048922534034625265,-0.01695569884689493,0.003585596019984854
2010-12-24,1176.36,0.09318996857715175,-0.0002937332194985258,-0.0024087040442678925,-0.016292590945395764,0.00573759142842991
2010-12-27,1144.5,0.08139778327032797,-0.0008581413411063062,0.0008177022545319966,-0.015547733679057672,0.008591569094060761
2010-12-28,1105.3,0.061718881011321086,-0.0027887223589636396,0.002905588152229856,-0.014915956833090823,0.010363566568775203
2010-12-29,1091.48,0.016800987223155883,-0.034351000937444066,0.0028320405747326253,-0.015399980136077665,0.0105320306427714
2010-12-30,1113.31,0.04210270895398521,-0.00844808140304949,0.0021645145435486746,-0.016040223911428397,0.01018462649926282
2010-12-31,1117.21,0.056643817941355236,-0.0034516309202953814,0.0028649912263035452,-0.015640143846649083,0.01068506314962804
2011-01-04,1137.66,0.07904772139152687,-0.0007306983812018525,0.004771666562637249,-0.015004496654528613,0.012273914889901517
2011-01-05,1155.11,0.1984497600689213,0.0,0.011234432554475017,-0.01428372574747615,0.018376295428213063
2011-01-06,1155.35,0.1933733267126009,-1.764263040065076e-05,0.021135089338710496,-0.013571294471065485,0.027920736574243224
2011-01-07,1134.79,0.19708302053175966,0.0,0.030540603071076894,-0.012890234765123803,0.03698572045363879
2011-01-10,1126.52,0.2642832363411021,0.0,0.04182236675009342,-0.012238681621221313,0.04794170756070408
2011-01-11,1093.77,0.2107525112960669,-0.0011746795750352125,0.05302399824589643,-0.01165419492629248,0.0588510957090427
2011-01-12,1078.36,0.15713246652867582,-0.00512678392274483,0.06021712149015267,-0.011262223748934175,0.06584823336461981
2011-01-13,1089.67,0.1523613629477687,-0.0053416103504950055,0.0651805277069763,-0.011022315387592112,0.07069168540077245
2011-01-14,1093.86,0.12636884472138876,-0.009075814568617354,0.06891970651649158,-0.010920073847499386,0.07437974344024137
2011-01-17,1067.42,0.11202688800286094,-0.011061226144124294,0.07118183808243114,-0.011006428393163074,0.0766850522790128
2011-01-18,1028.16,0.10934359161557206,-0.010903277702667224,0.07279605159179707,-0.011145630645387788,0.07836886691449109
2011-01-19,1025.72,0.08444893686910093,-0.015964420855060422,0.07345009671186895,-0.011435121665309725,0.07916765754452396
2011-01-20,1048.54,0.09545126232943456,-0.012774542987349502,0.07363540815757423,-0.011768939523479311,0.07951987791931407
2011-01-21,1020.39,0.08689706008706564,-0.014257850420505029,0.07390591361783777,-0.012028527567364833,0.07992017740152042
2011-01-24,1024.51,0.09242252161281109,-0.012152912271701864,0.07407904580564417,-0.012252757435872863,0.08020542452358088
